player_id,level,deaths,accuracy,avg_reaction_time_ms,completion_time_sec,score,difficulty_level,timestamp
p_101,1,3,0.0,1523.7,43.14,2588,0.2234,2026-05-26T10:50:58.517706
p_101,1,3,0.0,1541.5,42.35,2540,0.2549,2026-05-26T10:56:56.521282
p_101,1,3,0.0,1386.4,37.98,2279,0.3136,2026-05-26T11:04:45.892762
p_101,1,3,0.0,1384.8,35.79,2147,0.349,2026-05-26T11:12:30.034217
p_101,1,3,0.0,1478.3,59.73,3583,0.4269,2026-05-26T11:31:51.563240
p_101,1,3,0.0,1431.9,53.32,3199,0.463,2026-05-26T11:41:33.160004
p_101,1,3,0.0,1422.6,49.32,2959,0.4981,2026-05-26T12:01:05.754874
p_101,1,3,0.0,1491.7,45.65,2738,0.4931,2026-05-26T12:13:45.851273
p_101,1,3,0.0,1427.5,52.75,3165,0.5171,2026-05-26T12:25:15.795041
p_101,1,3,0.0,1369.2,56.76,3405,0.5317,2026-05-26T12:43:55.919425
p_101,1,3,0.0,1411.2,47.79,2867,0.5251,2026-05-26T12:52:41.850344
p_101,1,3,0.0,1422.4,63.92,3835,0.5526,2026-05-26T13:00:18.632182
p_101,1,3,0.0,1331.9,50.69,3041,0.5915,2026-05-26T13:19:44.446600
p_101,1,3,0.0,1385.0,61.34,3680,0.6155,2026-05-26T13:34:37.471562
p_101,1,3,0.0,1308.2,54.83,3289,0.6232,2026-05-26T13:47:35.652228
p_101,1,3,0.0,1422.8,66.51,3990,0.6563,2026-05-26T13:55:38.836820
p_101,1,3,0.0,1389.7,62.44,3746,0.6595,2026-05-26T14:15:06.883244
p_101,1,3,0.0,1347.8,63.33,3800,0.6804,2026-05-26T14:32:01.000883
p_101,1,3,0.0,1356.5,59.73,3583,0.6826,2026-05-26T14:42:41.361455
p_101,1,3,0.0,1369.2,68.93,4135,0.6979,2026-05-26T14:55:15.242331
p_101,1,3,0.0,1298.2,73.48,4409,0.734,2026-05-26T15:06:58.980830
p_101,1,3,0.0,1312.6,75.82,4549,0.7734,2026-05-26T15:25:57.416114
p_101,1,3,0.0,1276.7,67.06,4023,0.7935,2026-05-26T15:45:05.338473
p_101,1,3,0.0,1338.9,73.69,4421,0.823,2026-05-26T15:57:44.304719
p_101,1,3,0.0,1321.2,73.6,4415,0.8407,2026-05-26T16:12:53.815135
p_101,1,3,0.0,1326.6,75.06,4503,0.8384,2026-05-26T16:18:33.724814
p_102,1,3,0.0,1364.7,47.17,2830,0.15,2026-05-26T12:09:22.449999
p_102,1,3,0.0,1240.0,68.6,4116,0.2237,2026-05-26T12:29:02.086038
p_102,1,3,0.0,1253.1,63.3,3797,0.2487,2026-05-26T12:47:14.308512
p_102,1,3,0.0,1220.6,74.21,4452,0.2873,2026-05-26T12:53:18.998716
p_102,1,3,0.0,1174.2,71.32,4279,0.3125,2026-05-26T13:00:54.387406
p_102,1,3,0.0,1198.1,54.28,3256,0.3463,2026-05-26T13:17:48.843975
p_102,1,3,0.0,1102.2,81.59,4895,0.385,2026-05-26T13:32:47.035419
p_102,1,3,0.0,1172.1,80.12,4806,0.4215,2026-05-26T13:47:36.614135
p_102,1,3,0.0,1059.5,94.99,5699,0.4751,2026-05-26T14:00:45.976573
p_102,1,3,0.0,1131.8,92.21,5532,0.5123,2026-05-26T14:14:32.856720
p_102,1,3,0.0,1102.3,79.86,4791,0.564,2026-05-26T14:29:18.038799
p_102,1,3,0.0,1039.8,77.25,4634,0.5662,2026-05-26T14:34:36.392335
p_102,1,3,0.0,1036.2,79.08,4744,0.5835,2026-05-26T14:42:30.306936
p_102,1,3,0.0,1009.0,92.16,5529,0.5863,2026-05-26T14:57:51.818065
p_102,1,3,0.0,1081.3,77.34,4640,0.5709,2026-05-26T15:17:28.771753
p_102,1,3,0.0,1072.8,106.42,6385,0.6149,2026-05-26T15:29:37.363977
p_102,1,3,0.0,1047.4,86.1,5165,0.6271,2026-05-26T15:38:54.038429
p_102,1,3,0.0,1027.1,99.55,5973,0.6591,2026-05-26T15:58:11.493648
p_102,1,3,0.0,1021.0,93.56,5613,0.6596,2026-05-26T16:16:05.862359
p_102,1,3,0.0,940.0,95.78,5746,0.7069,2026-05-26T16:27:09.028655
p_102,1,3,0.0,1042.2,99.57,5974,0.7008,2026-05-26T16:45:48.509035
p_102,1,3,0.0,994.9,101.29,6077,0.7309,2026-05-26T17:00:47.417752
p_102,1,3,0.0,991.2,113.79,6827,0.7573,2026-05-26T17:06:08.976208
p_102,1,3,0.0,965.4,102.63,6157,0.7786,2026-05-26T17:20:28.943837
p_102,1,3,0.0,986.9,102.25,6134,0.7818,2026-05-26T17:26:48.483086
p_102,1,3,0.0,972.6,92.52,5551,0.7809,2026-05-26T17:40:07.004790
p_102,1,3,0.0,937.2,101.98,6118,0.79,2026-05-26T17:46:04.418380
p_102,1,3,0.0,932.8,100.21,6012,0.7777,2026-05-26T17:51:14.539481
p_102,1,3,0.0,1009.7,109.95,6597,0.7825,2026-05-26T17:56:17.285320
p_102,1,3,0.0,953.3,108.54,6512,0.7966,2026-05-26T18:15:03.130840
p_001,1,3,0.0,1723.0,13.78,832,0.5,2026-05-26T04:58:39.286121
p_001,1,3,0.0,1760.7,39.56,2387,0.558,2026-05-26T06:43:21.149692
p_001,1,0,0.291,826.7,141.99,2380,0.5
p_001,1,0,0.21,284.5,66.32,2600,0.584
p_001,2,1,0.112,227.2,54.51,1950,0.651
p_001,3,1,0.134,370.2,33.28,915,0.656
p_001,4,1,0.167,221.8,34.37,1950,0.657
p_001,5,1,0.145,184.1,37.14,1852,0.666
p_001,6,1,0.0,500.0,13.71,0,0.67
p_001,7,1,0.0,500.0,20.0,0,0.659
p_001,8,1,0.0,500.0,16.71,0,0.664
p_001,9,1,0.0,500.0,19.81,0,0.675
p_001,10,1,0.0,500.0,14.45,0,0.688
